serviceId:ID(Service),name,serviceTypes:string[],description,expertiseSignals:string[],regulatoryStandards:string[],seasonalConsiderations,equipmentRequired,typicalDuration,notes,:LABEL
srv-commercial-maintenance-program,Commercial Parking Lot Maintenance Program,commercial,"Comprehensive multi-year maintenance program including regular inspections, crack sealing, patching, sealcoating, striping, and sweeping. Protects pavement investment and maintains professional appearance.",Multi-year program development;Budget planning expertise;Pavement management systems knowledge,Pavement management best practices;ADA ongoing compliance,"Year 1-2 monitoring, Year 3-5 first sealcoat, ongoing crack sealing and patching, Year 10-15 mill and overlay consideration",Full maintenance equipment fleet,Multi-year contract with annual services,"Prevents small problems from becoming major failures. Typical schedule - Year 1-2 monitor and minor crack sealing, Year 3-4 first sealcoat and crack sealing, Years 5-10 sealcoat every 2-3 years with annual crack sealing, Year 10-15 mill and overlay consideration. Regular sweeping removes debris and standing water. Striping every 1-2 years. Creates stable recurring revenue. Position as partner in asset management.",Service
srv-municipal-pavement-management,Municipal Pavement Management Services,municipal,"Comprehensive pavement management program including condition assessment, preventative maintenance, rehabilitation planning, and budget forecasting for municipal street networks.",Pavement condition assessment expertise;Budget planning and forecasting;Multi-year program development;Agency coordination,Municipal pavement management best practices;State and federal funding requirements,Ongoing multi-year program with seasonal work schedules,Full maintenance and rehabilitation equipment capabilities,Multi-year contracts,"Systematic approach to maintaining street networks. Pavement condition surveys identify needs. Preventative maintenance (crack seal, surface treatments) extends life. Rehabilitation (mill and overlay) when preventative maintenance no longer effective. Reconstruction when structural capacity exhausted. Pavement management systems prioritize projects and forecast budgets. Right treatment at right time maximizes pavement life.",Service
srv-airport-paving,Airport and Runway Paving,specialty,"Specialized asphalt paving for airports, runways, taxiways, and aprons following FAA design standards. Heavy-duty pavements designed for aircraft loading, high tire pressures, and jet fuel resistance.",FAA specifications knowledge;FAARFIELD design software;P-401/P-403 mix specifications;Heavy-duty pavement expertise,FAA AC 150/5320-6 (airport pavement design);FAA P-401 and P-403 mix specifications;Quality control requirements;Surface friction requirements,Standard paving season. Minimal airport disruption required - fast construction critical.,"Heavy-duty paving equipment, stringent quality control testing equipment",Varies widely - often requires night work to minimize airport operations impact,"Extremely heavy loads (aircraft up to 1 million+ pounds), high tire pressures (200+ PSI), and fuel spill resistance required. Typical pavement 12-24+ inches asphalt over heavy aggregate base. Mix designs use larger aggregate, modified binders, and strict quality control. Surface friction critical for aircraft braking. Requires FAA approval and specialized expertise.",Service
srv-industrial-heavy-duty-paving,Industrial and Heavy-Duty Pavement,commercial;specialty,"Extra-heavy-duty asphalt pavements for ports, intermodal facilities, container yards, and areas with extremely heavy equipment loads. Designed for container handlers, cranes, and loaded semi-trailers.",Heavy-duty pavement design;Understanding of concentrated loads;High-stability mix knowledge,Engineering design for heavy loads;AASHTO heavy-duty pavement standards;Port authority specifications,Standard paving season,Heavy-duty paving equipment capable of thick lifts,Varies by project scope,"Heaviest-duty asphalt applications. Container handlers can exert high wheel loads. Requires thick asphalt sections (10-16+ inches), large aggregate mixes, modified binders, and thick aggregate base. Full-depth asphalt sometimes used. Slow-moving heavy loads create high stress. Requires specialized engineering.",Service
srv-bike-path-trail-paving,Bike Path and Trail Paving,municipal,"Asphalt paving for multi-use trails, bike paths, and recreational paths. Lighter structural requirements than roadways, emphasis on smooth riding surface and drainage.",Understanding of trail design;Smooth surface finishing;Environmental sensitivity,Trail design guidelines;ADA accessibility requirements;Environmental protection during construction,Standard paving season,Smaller paving equipment suitable for trail widths (8-12 feet typical),1-3 weeks depending on length,Light loads (bikes and pedestrians only) allow thin pavement - 2-3 inches asphalt total over 4-6 inches base is typical. Smooth surface critical for bike comfort. Can often use recycled materials. Minimal traffic control requirements. Growing market as communities invest in active transportation. Environmental considerations for trails through sensitive areas.,Service
srv-sports-facility-paving,Sports Facility and Court Paving,specialty,"Specialized asphalt paving for tennis courts, basketball courts, running tracks, and other athletic facilities. Requires extremely smooth, level surface and often includes colored coatings.",Precision grading and finishing;Surface smoothness requirements;Sport surfacing knowledge,USTA tennis court specifications;NCAA sports facility standards;Local recreation standards,"Standard paving season, colored coatings require warm weather","Small paver with precision controls, surface finishing tools","1-2 weeks including base, paving, and coating","Requires extremely flat, smooth surface. Maximum slope typically 1% for drainage. Often uses fine-graded leveling course over standard asphalt base. Acrylic or other colored coating systems applied on top. Must be free of defects. Post-tensioned edges or borders prevent cracking. Requires specialized expertise - sports facility contractors are niche market.",Service
srv-cold-climate-paving,Cold Climate Asphalt Solutions,residential;commercial;municipal;specialty,"Specialized asphalt paving services for northern climates with freeze-thaw cycles, frost heave, and winter maintenance challenges. Includes softer binder grades, proper base drainage, and winter emergency repairs.",Understanding of freeze-thaw damage mechanisms;Proper binder grade selection for cold climates;Drainage expertise for frost prevention;Winter maintenance capabilities,Northern state DOT specifications;Superpave binder grade for local climate;Frost depth requirements,Short paving season (May-September typical in far north). Cold patch available for winter emergency repairs.,"Standard paving equipment, cold patch materials for winter",Standard paving timeframes during season,"Cold climates require softer binder grades (PG 58-28, PG 52-34 in coldest areas) to resist thermal cracking. Freeze-thaw cycles are major challenge. Proper base drainage critical. Underdrains often needed. Potholes form rapidly in spring from winter freeze-thaw damage. Winter emergency repair with cold patch, then permanent hot mix repair in spring. Shorter construction season.",Service
srv-hot-climate-paving,Hot Climate Asphalt Solutions,residential;commercial;municipal;specialty,"Specialized asphalt paving for hot climates with high temperatures, UV exposure, and rutting concerns. Includes stiffer binder grades, modified mixes, and reflective coatings.",Understanding of rutting mechanisms;Polymer modification knowledge;High-temperature binder selection,Southern state DOT specifications;High-temperature PG binder grades,Year-round paving possible in warmest climates. Summer heat requires special precautions - early morning paving preferred.,Standard paving equipment,Standard paving timeframes,"Hot climates require stiffer binder grades (PG 70-22, PG 76-22 in hottest areas) to resist rutting. Polymer modification (SBS) improves high-temperature performance. Summer pavement temperatures can exceed 150°F. Early morning or evening paving preferred in extreme heat. Reflective coatings and light-colored surfaces can reduce heat absorption. Extended paving season and minimal freeze-thaw damage. Aging and oxidation from UV exposure requires regular seal coating.",Service
srv-coastal-hurricane-zone-paving,Coastal and Hurricane Zone Paving,residential;commercial;municipal;specialty,"Asphalt paving for coastal areas and hurricane zones with saltwater exposure, high winds, flooding risks, and storm surge concerns. Includes enhanced drainage, modified materials for moisture resistance, and storm damage repair.",Coastal construction experience;Storm damage assessment and repair;Saltwater resistant materials knowledge;Enhanced drainage design,Coastal building codes;Flood zone requirements;Wind resistance standards for temporary structures,Avoid hurricane season when possible (June-November). Storm damage creates emergency repair demand.,Standard paving equipment plus storm damage cleanup capabilities,Standard paving timeframes plus storm response capabilities,Saltwater exposure accelerates pavement aging - regular maintenance critical. Storm surge flooding can undermine base and subgrade. Enhanced drainage essential. Polymer-modified binders improve moisture resistance. Hurricane season creates damage and emergency repair opportunities. Standing water from storm surge must drain quickly. Debris cleanup often needed before repairs. Storm damage assessment and repair is specialized service.,Service
srv-emergency-asphalt-repair,Emergency Asphalt Repair Services,residential;commercial;municipal,"24/7 emergency response for urgent pavement failures, dangerous potholes, sinkholes, and storm damage. Rapid mobilization to restore safety and access using temporary or permanent repair methods.",24/7 availability;Rapid response capability;Both temporary and permanent repair options;Safety hazard assessment,Emergency work zone safety;Temporary traffic control,"Year-round service. Cold patch used in winter, hot mix when available.","Mobile repair equipment, cold patch stockpile, traffic control equipment","Response within hours, repair completion same day or next day",Emergency repairs address immediate safety hazards and liability concerns. Property owners and municipalities need rapid response when dangerous conditions develop. Cold patch provides temporary repair in winter or after-hours. Hot mix permanent repair follows when conditions allow. Builds strong customer relationships and leads to additional work.,Service
srv-utility-cut-repair,Utility Cut and Trench Repair,residential;commercial;municipal,"Proper restoration of asphalt pavement after utility work, trenching, or excavation. Includes base replacement, proper compaction, and pavement patching to match existing surface.",Understanding of proper trench backfill;Compaction in confined spaces;Matching existing pavement,Municipal utility cut ordinances;Compaction specifications for trenches;Warranty requirements,"Performed year-round as utility work demands, hot mix preferred when available","Compaction equipment suitable for trenches, sawcutting equipment, small paver or hand tools",1-2 days per utility cut,Utility cuts are common cause of pavement distress when improperly restored. Must compact backfill in lifts (6-8 inch maximum). Sawcut existing pavement to create clean edges. Replace base material and compact. Patch with hot mix and compact thoroughly. Municipalities often have strict ordinances on utility cut restoration including warranty periods. Settlement of utility cuts creates customer complaints and callbacks.,Service
srv-sinkhole-repair,Sinkhole and Subsidence Repair,residential;commercial;municipal,"Repair of pavement damage from sinkholes, underground voids, mine subsidence, or major subgrade failure. Includes void investigation, stabilization, and pavement reconstruction.",Subsurface investigation capability;Void filling techniques;Major excavation and reconstruction,Geotechnical engineering consultation;Structural fill specifications,"Emergency response as needed, reconstruction when weather allows","Excavation equipment, void filling materials, reconstruction capabilities",Several days to weeks depending on severity,"Sinkholes and major subsidence require investigation to determine cause and extent. May need geotechnical engineer consultation. Small voids can be filled with flowable fill or grout. Large voids may require excavation to bedrock and complete reconstruction. Underground utilities must be considered. Emergency safety measures (barricades, temporary fill) followed by permanent repair.",Service
srv-surface-cleaning-sweeping,Parking Lot Sweeping and Cleaning,commercial,"Regular parking lot sweeping, debris removal, and surface cleaning to maintain appearance, prevent drainage issues, and extend pavement life. Essential component of preventative maintenance programs.",Power sweeping equipment;Regular service scheduling;Drainage maintenance,Environmental stormwater regulations;Debris disposal requirements,Year-round service with increased frequency in fall (leaves) and spring (winter debris),"Mechanical sweeper equipment, debris hauling",Ongoing recurring service,"Regular sweeping removes debris, prevents drainage clogs, and maintains professional appearance. Particularly important before sealcoating or striping. Creates recurring revenue stream and customer relationships. Often bundled with other maintenance services.",Service
